generation=389, runtime=2441.37s, best_objective=1455571.107500, note=checkpoint
generation=390, runtime=2447.52s, best_objective=1455571.107500, note=checkpoint
generation=391, runtime=2453.97s, best_objective=1455571.107500, note=checkpoint
generation=392, runtime=2460.23s, best_objective=1455571.107500, note=checkpoint
generation=393, runtime=2466.51s, best_objective=1455571.107500, note=checkpoint
generation=394, runtime=2472.70s, best_objective=1455571.107500, note=checkpoint
generation=395, runtime=2479.48s, best_objective=1455571.107500, note=checkpoint
generation=396, runtime=2486.19s, best_objective=1455571.107500, note=checkpoint
generation=397, runtime=2492.46s, best_objective=1455571.107500, note=checkpoint
generation=398, runtime=2498.78s, best_objective=1455571.107500, note=checkpoint
generation=399, runtime=2505.80s, best_objective=1455571.107500, note=checkpoint
generation=400, runtime=2512.17s, best_objective=1455571.107500, note=checkpoint
generation=401, runtime=2518.46s, best_objective=1455571.107500, note=checkpoint
generation=402, runtime=2524.92s, best_objective=1455571.107500, note=checkpoint
generation=403, runtime=2531.33s, best_objective=1455571.107500, note=checkpoint
